Sminex,developer,Москва,sale,flat,12,2,86.1,213680000.0,Хамовники,Фрунзенская набережная,30,Фрунзенская,Клубный город-парк 
ZIP Realty,real_estate_agent,Москва,sale,flat,20,3,110.7,122000000.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
ID 18174647,realtor,Москва,sale,flat,31,5,246.7,287323255.0,Очаково-Матвеевское,Нежинская ,1к1,Давыдково,Кутузовская Ривьера
VESPER,developer,Москва,sale,flat,9,2,104.2,150958800.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
Monumental Group,real_estate_agent,Москва,sale,flat,7,4,160.0,99999000.0,Тверской,Тверская ,27С2,Маяковская,
SHOW ME,real_estate_agent,Москва,sale,flat,85,4,294.6,412440000.0,Пресненский,Московский международный деловой центр Москва-Сити тер.,,Деловой центр,
VESPER,developer,Москва,sale,flat,21,2,110.6,108976392.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
Homeapp,real_estate_agent,Москва,sale,flat,14,3,70.9,39200000.0,Раменки,проспект Генерала Дорохова,39к2А,Минская,Собрание клубных домов West Garden
Intermark Real Estate,real_estate_agent,Москва,sale,flat,12,5,303.0,528508199.0,Хамовники,Трубецкая ,12,Фрунзенская,Садовые кварталы
Галс-Девелопмент,developer,Москва,sale,flat,6,2,102.7,114715900.0,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов Театральный Дом
SHOW ME,real_estate_agent,Москва,sale,flat,10,3,115.0,101000000.0,Тверской,Большая Грузинская ,69,Белорусская,Четыре Ветра
Светлана Анисимова,realtor,Москва,sale,flat,31,2,55.7,21990000.0,Богородское,Тюменский проезд,3к1,Бульвар Рокоссовского,Преображение
Tekta Group,developer,Москва,sale,flat,42,2,43.0,21606000.0,Котловка,Севастопольский проспект,22А,Нагорная,Eniteo
hoomie,real_estate_agent,Москва,sale,flat,20,4,90.71,32501393.0,Даниловский,Автозаводская ,26,Тульская,FORST
Monumental Group,real_estate_agent,Москва,sale,flat,4,4,210.0,125970000.0,Тверской,Петровский переулок,5С4,Пушкинская,
VESPER,developer,Москва,sale,flat,6,2,173.3,363930000.0,Пресненский,Трехпрудный переулок,9С2,Пушкинская,Клубный дом Левенсон
Рента,real_estate_agent,Москва,sale,flat,9,5,234.8,125000000.0,Тверской,Краснопролетарская ,7,Новослободская,Ласточкино гнездо
Villagio Realty,real_estate_agent,Москва,sale,flat,9,3,61.6,18990000.0,Северное Измайлово,16-я Парковая ,49К2,Щёлковская,
ANT Development,developer,Москва,sale,flat,10,2,59.8,71281684.0,Дорогомилово,,3к8,Поклонная,Виктори Парк Резиденсез ЖК
ZIP Realty,real_estate_agent,Москва,sale,flat,18,4,176.6,98000000.0,Хорошевский, Гризодубовой,4К4,ЦСКА,Гранд-парк
Никита Гаврилов,realtor,Москва,sale,flat,22,1,40.0,13290000.0,Марьино, Верхние Поля,36К2,Люблино,
Главстрой,developer,Москва,sale,flat,22,2,67.1,28625560.0,Филевский парк,Береговой проезд,2,Фили,Береговой-2
Monumental Group,real_estate_agent,Москва,sale,flat,11,4,169.5,79970000.0,Хорошевский, Куусинена,21А,Зорге,
ID 111783,homeowner,Москва,sale,flat,14,3,104.0,29600000.0,Коптево, Космонавта Волкова,29К1,Красный Балтиец,
Галс-Девелопмент,developer,Москва,sale,flat,27,2,69.4,32340400.0,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56
BARNES International Realty,real_estate_agent,Москва,sale,flat,10,4,180.0,212000000.0,Дорогомилово,,3к1,Парк Победы,Виктори Парк Резиденсез ЖК
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,Москва,sale,flat,15,4,103.7,50000000.0,Замоскворечье,Валовая ,6,Павелецкая,
Галс-Девелопмент,developer,Москва,sale,flat,6,2,71.56,131670400.0,Замоскворечье,Космодамианская набережная,4/22С8,Новокузнецкая,Клубный дом Космо 4/22
Главстрой,developer,Москва,sale,flat,20,3,103.7,40291971.0,Филевский парк,Береговой проезд,2,Фили,Береговой-2
ID 112609323,realtor,Москва,sale,flat,6,5,310.15,325657500.0,Хамовники,Зубовская ,7,Парк Культуры,Roza Rossa
Донстрой,developer,Москва,sale,flat,21,1,37.7,19147830.0,Лефортово,,,Площадь Ильича,Символ ЖК
Apple Real Estate,real_estate_agent,Москва,sale,flat,21,3,116.78,115000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
Пионер,developer,Москва,sale,flat,11,1,55.8,52675646.0,Даниловский,,,Павелецкая,Опус ЖК
Century 21 Street Realty,real_estate_agent,Москва,sale,flat,21,3,117.0,114000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
Tekta Group,developer,Москва,sale,flat,34,1,31.2,15178800.0,Нагорный,,2,Нагорная,Твелв ЖК
Contact Real Estate,real_estate_agent,Москва,sale,flat,12,4,145.0,299000000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Sminex,developer,Москва,sale,flat,26,1,35.67,21910000.0,Марфино, Академика Королева,21,Бутырская,Дом Достижение
NIKA ESTATE,real_estate_agent,Москва,sale,flat,41,3,91.2,80000000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
Трансстройинвест,developer,Москва,sale,flat,23,2,44.1,21442875.0,Очаково-Матвеевское,Очаково мкр,,Озёрная,ОМ ЖК
White and Broughton,real_estate_agent,Москва,sale,flat,41,2,56.9,40000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
КРОСТ,developer,Москва,sale,flat,28,2,47.9,22081900.0,Хорошево-Мневники, Генерала Глаголева,,Народное Ополчение,CRYSTAL Трилогия
Century 21 Street Realty,real_estate_agent,Москва,sale,flat,5,3,112.0,85000000.0,Хамовники,Комсомольский проспект,42С2,Спортивная,Clerkenwell House
Ташир,developer,Москва,sale,flat,21,2,48.1,15680600.0,Очаково-Матвеевское,Аминьевское шоссе,6,Давыдково,West Tower (Апартаменты бизнес-класса)
Whitewill,real_estate_agent,Москва,sale,flat,6,4,184.1,82200000.0,Басманный,Нижняя Красносельская ,35С48,Бауманская,TriBeCa APARTMENTS
Regions Development,developer,Москва,sale,flat,15,2,40.94,18629584.0,Преображенское,Жилой комплекс Преображенская площадь,,Преображенская площадь,Преображенская площадь
Kalinka Group,real_estate_agent,Москва,sale,flat,18,3,90.4,45000000.0,Беговой,Ленинградский проспект,29к1,Динамо,Царская площадь
MR Group,developer,Москва,sale,flat,36,1,40.9,30348986.0,Беговой,Ленинградский проспект,вл8,Белорусская,Slava
White and Broughton,real_estate_agent,Москва,sale,flat,41,1,41.5,31000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Основа,developer,Москва,sale,flat,28,2,41.3,17106460.0,Хорошево-Мневники,,,Полежаевская,Эмоушен ЖК
SUNRISE Estate,real_estate_agent,Москва,sale,flat,19,4,140.7,67990000.0,Хорошево-Мневники,Шелепихинская набережная,34к1зд4,Шелепиха,Сердце Столицы
Галс-Девелопмент,developer,Москва,sale,flat,23,3,82.8,39578400.0,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,Москва,sale,flat,8,4,134.0,71700000.0,Тверской,Тверская ,27С2,Маяковская,
MR Group,developer,Москва,sale,flat,54,1,38.99,19328123.0,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34
Kalinka Group,real_estate_agent,Москва,sale,flat,5,3,150.8,195000000.0,Пресненский,Леонтьевский переулок,11,Тверская,Леонтьевский 11
MR Group,developer,Москва,sale,flat,59,1,30.4,,Можайский,,,Давыдково,Веер ЖК
Contact Real Estate,real_estate_agent,Москва,sale,flat,20,1,59.0,61800000.0,Пресненский, Костикова,4к6,Улица 1905 года,Lucky
FS PROPERTY,real_estate_agent,Москва,sale,flat,16,3,158.0,205000000.0,Якиманка, Большая Якиманка,22К3,Полянка,Коперник
MR Group,developer,Москва,sale,flat,57,2,40.53,26210751.0,Филевский парк,,,Фили,Фили Сити ЖК
Romanov Estate,real_estate_agent,Москва,sale,flat,33,3,99.0,48999999.0,Пресненский, Пресненский Вал,27С2,Белорусская,Republic
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,11,5,179.2,105000000.0,Басманный,Старая Басманная ,10С5,Курская,KAZAKOV Grand Loft
Главстрой,developer,Москва,sale,flat,35,1,39.22,18847239.0,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК
ID 65939370,unknown,Москва,sale,flat,25,3,131.2,51900000.0,Очаково-Матвеевское,Нежинская ,8К4,Матвеевская,Нежинский ковчег
ID 85529538,homeowner,Москва,sale,flat,25,3,96.1,47750000.0,Раменки, Лобачевского,118к2,Аминьевская,Лобачевский
Галс-Девелопмент,developer,Москва,sale,flat,5,3,183.1,174494300.0,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов Театральный Дом
Century 21 Street Realty,real_estate_agent,Москва,sale,flat,41,3,97.2,72300000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,Москва,sale,flat,41,2,46.0,21500000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
Forma,developer,Москва,sale,flat,29,2,65.2,25687170.0,Аэропорт,Часовая ,28к8,Сокол,SOUL
Point Estate Город,real_estate_agent,Москва,sale,flat,21,2,54.0,59000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
Yhome,real_estate_agent,Москва,sale,flat,17,5,310.0,330000000.0,Пресненский,Звенигородское шоссе,11,Улица 1905 года,Дизайнерский дом Eleven
Мангазея,developer,Москва,sale,flat,21,2,74.2,36448375.0,Щукино,Щукинская ,,Щукинская,Интонация
Apple Real Estate,real_estate_agent,Москва,sale,flat,21,3,116.78,115000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
Intermark Real Estate,real_estate_agent,Москва,sale,flat,21,4,222.8,111400000.0,Пресненский,Большой Тишинский переулок,10С1,Баррикадная,"Большой Тишинский переулок, 10с1"
Tekta Group,developer,Москва,sale,flat,34,1,30.0,17691000.0,Обручевский,,,Воронцовская,Эвер ЖК
Contact Real Estate,real_estate_agent,Москва,sale,flat,12,4,145.0,299000000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
SELS,real_estate_agent,Москва,sale,flat,28,3,94.0,57000000.0,Филевский парк,Береговой проезд,1А,Шелепиха,мой адрес На Береговом
FORMA,developer,Москва,sale,flat,33,2,64.67,37928955.0,Пресненский, Пресненский Вал,27С6,Белорусская,Republic
Century 21 Street Realty,real_estate_agent,Москва,sale,flat,21,3,117.0,114000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
HOUSE MALL - Городская недвижимость,real_estate_agent,Москва,sale,flat,58,2,60.2,21000000.0,Ростокино,проспект Мира,188Бк1,Ростокино,Триколор
MR Group,developer,Москва,sale,flat,13,1,85.04,130383328.0,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,Клубный дом Forum
NIKA ESTATE,real_estate_agent,Москва,sale,flat,41,3,91.2,80000000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
ALFA real estate,real_estate_agent,Москва,sale,flat,9,4,150.5,230000000.0,Тверской, Фадеева,4А,Новослободская,Итальянский Квартал
MR Group,developer,Москва,sale,flat,59,2,34.6,13833080.0,Можайский,Верейская ,29С32А,Давыдково,SET
