Sminex,developer,Москва,sale,flat,12,2,total_meters,price,Хамовники,Фрунзенская набережная,30,Фрунзенская,Клубный город-парк ,price_per_sqm
ZIP Realty,real_estate_agent,Москва,sale,flat,20,3,110.7,122000000.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky,1102077.6874435411
ID 18174647,realtor,Москва,sale,flat,31,5,246.7,287323255.0,Очаково-Матвеевское,Нежинская ,1к1,Давыдково,Кутузовская Ривьера,1164666.6193757602
VESPER,developer,Москва,sale,flat,9,2,104.2,150958800.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya,1448740.8829174663
Monumental Group,real_estate_agent,Москва,sale,flat,7,4,160.0,99999000.0,Тверской,Тверская ,27С2,Маяковская,,624993.75
SHOW ME,real_estate_agent,Москва,sale,flat,85,4,294.6,412440000.0,Пресненский,Московский международный деловой центр Москва-Сити тер.,,Деловой центр,,1400000.0
VESPER,developer,Москва,sale,flat,21,2,110.6,108976392.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky,985320.0
Homeapp,real_estate_agent,Москва,sale,flat,14,3,70.9,39200000.0,Раменки,проспект Генерала Дорохова,39к2А,Минская,Собрание клубных домов West Garden,552891.3963328631
Intermark Real Estate,real_estate_agent,Москва,sale,flat,12,5,303.0,528508199.0,Хамовники,Трубецкая ,12,Фрунзенская,Садовые кварталы,1744251.4818481847
Галс-Девелопмент,developer,Москва,sale,flat,6,2,102.7,114715900.0,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов Театральный Дом,1117000.0
SHOW ME,real_estate_agent,Москва,sale,flat,10,3,115.0,101000000.0,Тверской,Большая Грузинская ,69,Белорусская,Четыре Ветра,878260.8695652174
Светлана Анисимова,realtor,Москва,sale,flat,31,2,55.7,21990000.0,Богородское,Тюменский проезд,3к1,Бульвар Рокоссовского,Преображение,394793.53680430877
Tekta Group,developer,Москва,sale,flat,42,2,43.0,21606000.0,Котловка,Севастопольский проспект,22А,Нагорная,Eniteo,502465.11627906974
hoomie,real_estate_agent,Москва,sale,flat,20,4,90.71,32501393.0,Даниловский,Автозаводская ,26,Тульская,FORST,358300.0
Monumental Group,real_estate_agent,Москва,sale,flat,4,4,210.0,125970000.0,Тверской,Петровский переулок,5С4,Пушкинская,,599857.1428571428
VESPER,developer,Москва,sale,flat,6,2,173.3,363930000.0,Пресненский,Трехпрудный переулок,9С2,Пушкинская,Клубный дом Левенсон,2100000.0
Рента,real_estate_agent,Москва,sale,flat,9,5,234.8,125000000.0,Тверской,Краснопролетарская ,7,Новослободская,Ласточкино гнездо,532367.9727427597
Villagio Realty,real_estate_agent,Москва,sale,flat,9,3,61.6,18990000.0,Северное Измайлово,16-я Парковая ,49К2,Щёлковская,,308279.22077922075
ANT Development,developer,Москва,sale,flat,10,2,59.8,71281684.0,Дорогомилово,,3к8,Поклонная,Виктори Парк Резиденсез ЖК,1192001.4046822742
ZIP Realty,real_estate_agent,Москва,sale,flat,18,4,176.6,98000000.0,Хорошевский, Гризодубовой,4К4,ЦСКА,Гранд-парк,554926.3873159683
Никита Гаврилов,realtor,Москва,sale,flat,22,1,40.0,13290000.0,Марьино, Верхние Поля,36К2,Люблино,,332250.0
Главстрой,developer,Москва,sale,flat,22,2,67.1,28625560.0,Филевский парк,Береговой проезд,2,Фили,Береговой-2,426610.4321907601
Monumental Group,real_estate_agent,Москва,sale,flat,11,4,169.5,79970000.0,Хорошевский, Куусинена,21А,Зорге,,471799.4100294985
ID 111783,homeowner,Москва,sale,flat,14,3,104.0,29600000.0,Коптево, Космонавта Волкова,29К1,Красный Балтиец,,284615.3846153846
Галс-Девелопмент,developer,Москва,sale,flat,27,2,69.4,32340400.0,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56,465999.99999999994
BARNES International Realty,real_estate_agent,Москва,sale,flat,10,4,180.0,212000000.0,Дорогомилово,,3к1,Парк Победы,Виктори Парк Резиденсез ЖК,1177777.7777777778
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,Москва,sale,flat,15,4,103.7,50000000.0,Замоскворечье,Валовая ,6,Павелецкая,,482160.07714561233
Галс-Девелопмент,developer,Москва,sale,flat,6,2,71.56,131670400.0,Замоскворечье,Космодамианская набережная,4/22С8,Новокузнецкая,Клубный дом Космо 4/22,1840000.0
Главстрой,developer,Москва,sale,flat,20,3,103.7,40291971.0,Филевский парк,Береговой проезд,2,Фили,Береговой-2,388543.5969141755
